iteration,kDOC,kA,lA,pA,hA,mA,decay,cA,v,rec,SSE
result.39,0.530088085,0.000905075,0.213042396,0.842675879,29.99111954,6.241798495,0.001686483,0.020436298,0.037005723,0.351298106,69773469.16
result.40,0.260932346,0.001605298,0.260020303,0.170022317,99.81880412,2.027171853,0.006478336,0.015425595,0.046046474,0.300127921,74465267.25
result.41,0.245196684,0.000996698,0.293368917,1.28547822,32.83136791,5.047901265,0.006238358,0.017473666,0.019776179,0.281787946,67678252.92
result.42,0.106936725,0.001687221,0.013869184,1.227862541,92.44874591,9.262757819,0.005932795,0.009080403,0.025495388,0.656331655,60006206.3
result.43,0.444799299,0.001926359,0.261169101,0.669281198,82.20124308,0.209737548,0.001145706,0.013739883,0.005771374,0.549818431,74204165.77
result.44,0.228291015,0.001442618,0.241457441,1.104328616,71.11665307,6.936406962,0.004233338,0.014907776,0.028699647,0.377346887,65983406.61
result.45,0.258625313,0.002089096,0.277217551,1.256690282,74.87290017,6.044512949,0.00640577,0.022243482,0.047137187,0.956481047,50658757.46
result.46,0.150236204,0.003141906,0.044038275,0.843422136,29.63666955,2.453628577,0.000955675,0.022730877,0.028588882,0.53033296,67514387.09
result.47,0.285389316,0.001250847,0.269390621,0.845738847,74.4751507,4.424741197,0.007387863,0.013185128,0.013422928,0.699427429,57948445.53
result.48,0.388051918,0.00355239,0.022965761,1.192677226,62.31815908,4.984017447,0.001081113,0.024402513,0.023867106,0.561733231,68260701.03
result.49,0.227536696,0.002889117,0.196497537,0.366021925,22.31142474,7.598210523,0.007357292,0.00528439,0.017802972,0.543719963,67452352.32
result.50,0.272298435,0.000274263,0.019637899,1.870098323,31.03398435,0.787311565,0.004037021,0.01927481,0.048397291,0.494783532,67545687.57
result.51,0.60707378,0.003578343,0.233120358,0.274978509,77.82845311,7.245892663,0.002140965,0.023727317,0.035782912,0.438694146,74465267.25
result.52,0.233020132,0.001490823,0.223882006,0.125259269,64.12679002,1.42885264,0.001302751,0.01441842,0.024855609,0.240386776,74465267.25
result.53,0.57021739,0.002343187,0.285394591,0.238017923,60.18525587,4.015221543,0.004205036,0.021693489,0.048895496,0.59159311,74465267.25
result.54,0.183614453,0.001583856,0.249931565,1.711538174,81.80728482,1.069500319,0.002081672,0.01185687,0.045959252,0.847134499,47263790.83
result.55,0.628583904,0.000469664,0.13616058,0.311729971,95.84051628,4.1149758,0.006866262,0.01577,0.032084601,0.697756168,74433661.5
result.56,0.639835586,0.00375015,0.04189061,1.461322626,38.35210653,4.957526422,0.000297834,0.017255022,0.018687199,0.957437901,55753517.14
result.57,0.715947605,0.003756178,0.044365281,1.41906948,87.34173683,4.525703895,0.002497266,0.021322583,0.026515487,0.509200393,67389435.5
result.58,0.476217785,0.001935465,0.177631473,0.250455606,26.52653424,0.588352673,0.001223661,0.022690835,0.044224984,0.511317402,74444415.27
result.59,0.172510682,0.004512065,0.045449692,1.472871771,81.34689163,8.340372101,0.006805011,0.018900996,0.039336071,0.918186658,59915515.37
